epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,145.757,1.31831,1.35003,1.10146,0.34351,0.19012,0.17979,0.10007,1.53753,3.4739,1.08651,0.000108116,0.000108116,0.000108116
42,148.867,1.38505,1.31455,1.05458,0.3345,0.17388,0.17903,0.10453,1.47191,3.46267,1.05997,0.000106344,0.000106344,0.000106344
43,152.022,1.37328,1.33556,1.09789,0.36554,0.16892,0.18283,0.10519,1.47704,3.46456,1.06335,0.000104572,0.000104572,0.000104572
44,155.139,1.37554,1.30343,1.06735,0.33535,0.16951,0.18933,0.10238,1.55363,3.47453,1.09956,0.0001028,0.0001028,0.0001028
45,157.925,1.32471,1.2761,1.05778,0.30667,0.16923,0.19439,0.10267,1.59,3.48291,1.11685,0.000101028,0.000101028,0.000101028
46,160.871,1.32024,1.25966,1.07474,0.30501,0.17296,0.19146,0.09876,1.6477,3.51927,1.14348,9.92555e-05,9.92555e-05,9.92555e-05
47,164.219,1.29633,1.18379,1.06591,0.41169,0.16441,0.19543,0.10254,1.66048,3.57235,1.14569,9.74834e-05,9.74834e-05,9.74834e-05
48,167.124,1.27898,1.19649,1.03896,0.41092,0.17829,0.1933,0.09435,1.81586,3.634,1.2156,9.57113e-05,9.57113e-05,9.57113e-05
49,170.324,1.28593,1.23129,1.04771,0.42281,0.17763,0.21018,0.10255,1.85791,3.63781,1.23935,9.39392e-05,9.39392e-05,9.39392e-05
50,173.275,1.31449,1.21874,1.10031,0.39378,0.1688,0.19932,0.09332,1.96904,3.66475,1.30703,9.21671e-05,9.21671e-05,9.21671e-05
51,176.29,1.26116,1.17709,1.07698,0.41699,0.16676,0.20559,0.10027,1.97789,3.66594,1.32354,9.0395e-05,9.0395e-05,9.0395e-05
52,179.254,1.29783,1.11307,1.06316,0.36019,0.15949,0.22557,0.11457,1.95775,3.65236,1.31379,8.86229e-05,8.86229e-05,8.86229e-05
53,182.251,1.26544,1.07561,1.04826,0.43006,0.15767,0.24422,0.13777,1.73181,3.61035,1.18901,8.68508e-05,8.68508e-05,8.68508e-05
54,185.151,1.29716,1.11696,1.05429,0.45493,0.1501,0.243,0.14099,1.6114,3.57075,1.13158,8.50787e-05,8.50787e-05,8.50787e-05
55,188.039,1.29333,1.11601,1.05659,0.42903,0.18314,0.23223,0.13023,1.63665,3.60044,1.14396,8.33066e-05,8.33066e-05,8.33066e-05
