epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,205.22,0.74272,0.43417,0.98236,0.93134,0.86177,0.99262,0.72093,1.16679,0.76518,1.21843,0.000742625,0.000742625,0.000742625
43,212.228,0.7419,0.44474,0.99127,0.76613,0.87165,0.96263,0.65035,1.2528,1.19329,1.28271,0.00073025,0.00073025,0.00073025
44,218.737,0.67656,0.40822,0.94136,0.95412,0.73091,0.92685,0.60104,1.11292,1.21804,1.17398,0.000717875,0.000717875,0.000717875
45,225.185,0.6451,0.39566,0.93713,0.87747,0.73142,0.91799,0.59321,1.1675,1.30302,1.22126,0.0007055,0.0007055,0.0007055
46,231.937,0.64495,0.38424,0.94343,0.79079,0.77476,0.90413,0.60712,1.23398,1.48863,1.28758,0.000693125,0.000693125,0.000693125
47,238.524,0.66872,0.38715,0.94627,0.92925,0.93429,0.995,0.71442,1.14234,0.61221,1.19916,0.00068075,0.00068075,0.00068075
48,245.296,0.67642,0.38477,0.94203,0.98352,1,0.995,0.83097,0.78064,0.35967,0.97833,0.000668375,0.000668375,0.000668375
49,252.027,0.6874,0.40583,0.94658,0.97975,1,0.995,0.84894,0.77497,0.35309,0.97025,0.000656,0.000656,0.000656
50,259.12,0.66028,0.38478,0.94276,0.98235,1,0.995,0.83114,0.81568,0.35187,1.00606,0.000643625,0.000643625,0.000643625
51,265.644,0.65111,0.38647,0.93567,0.98604,1,0.995,0.79612,0.93184,0.3912,1.08991,0.00063125,0.00063125,0.00063125
52,273.028,0.71964,0.40267,0.98589,0.98297,1,0.995,0.78092,1.02901,0.40031,1.14874,0.000618875,0.000618875,0.000618875
53,280.38,0.66055,0.38096,0.94085,0.96244,0.91578,0.995,0.78616,0.93581,0.46904,1.10386,0.0006065,0.0006065,0.0006065
54,287.549,0.63578,0.37352,0.93662,0.95712,0.86431,0.99024,0.77151,0.97219,0.58321,1.11131,0.000594125,0.000594125,0.000594125
55,294.315,0.62716,0.3602,0.94175,0.91587,0.84023,0.99111,0.77352,1.01727,0.63645,1.12911,0.00058175,0.00058175,0.00058175
56,300.956,0.61525,0.35785,0.92914,0.9467,0.97583,0.995,0.74854,1.08601,0.4634,1.17728,0.000569375,0.000569375,0.000569375
57,307.528,0.67298,0.37287,0.95203,0.98416,0.98759,0.995,0.77402,0.99534,0.40805,1.12033,0.000557,0.000557,0.000557
58,314.361,0.64824,0.37523,0.93482,0.98591,1,0.995,0.81235,0.87912,0.37072,1.04729,0.000544625,0.000544625,0.000544625
59,321.172,0.66869,0.37374,0.94403,0.98393,1,0.995,0.82978,0.78596,0.34494,0.99944,0.00053225,0.00053225,0.00053225
60,327.63,0.65411,0.36212,0.94404,0.983,1,0.995,0.82211,0.81456,0.35145,1.02201,0.000519875,0.000519875,0.000519875
61,334.312,0.63969,0.3686,0.95259,0.98429,1,0.995,0.81061,0.87406,0.36196,1.05572,0.0005075,0.0005075,0.0005075
62,341.127,0.60174,0.35123,0.93062,0.98577,1,0.995,0.80039,0.93757,0.37093,1.09036,0.000495125,0.000495125,0.000495125
63,347.859,0.6034,0.33983,0.92405,0.98645,1,0.995,0.77859,0.96976,0.38202,1.1031,0.00048275,0.00048275,0.00048275
64,354.586,0.61972,0.35879,0.93012,0.9846,1,0.995,0.77938,0.96695,0.37654,1.09973,0.000470375,0.000470375,0.000470375
65,361.23,0.59115,0.3402,0.91785,0.98373,1,0.995,0.7869,0.97503,0.36458,1.11258,0.000458,0.000458,0.000458
66,368.016,0.59305,0.35185,0.9355,0.98631,1,0.995,0.73727,0.95859,0.37786,1.11366,0.000445625,0.000445625,0.000445625
67,374.769,0.60406,0.34545,0.94443,0.99694,1,0.995,0.75329,0.89519,0.36804,1.08296,0.00043325,0.00043325,0.00043325
68,381.824,0.632,0.3569,0.93497,0.98632,1,0.995,0.82524,0.8311,0.33608,1.0243,0.000420875,0.000420875,0.000420875
69,388.598,0.59878,0.33207,0.9157,0.97437,1,0.995,0.80597,0.88032,0.34089,1.04615,0.0004085,0.0004085,0.0004085
70,395.474,0.57521,0.32958,0.91234,0.97634,1,0.995,0.79966,0.92452,0.35056,1.06648,0.000396125,0.000396125,0.000396125
71,403.021,0.56071,0.32043,0.9053,0.98232,1,0.995,0.80527,0.91649,0.35128,1.05958,0.00038375,0.00038375,0.00038375
72,409.738,0.57539,0.33539,0.91095,0.98709,1,0.995,0.83266,0.82075,0.34203,0.99862,0.000371375,0.000371375,0.000371375
73,416.336,0.59991,0.34858,0.91725,0.98785,1,0.995,0.82299,0.8006,0.34012,0.99375,0.000359,0.000359,0.000359
74,423.181,0.61197,0.3409,0.92627,0.9889,1,0.995,0.8093,0.8305,0.34004,1.01598,0.000346625,0.000346625,0.000346625
75,429.567,0.59435,0.33965,0.92826,0.98757,1,0.995,0.80277,0.89592,0.35898,1.05689,0.00033425,0.00033425,0.00033425
76,436.242,0.57067,0.32379,0.90739,0.98558,1,0.995,0.78912,0.9562,0.36995,1.0903,0.000321875,0.000321875,0.000321875
77,442.544,0.61334,0.3354,0.92409,0.98535,1,0.995,0.81239,0.91817,0.36065,1.06567,0.0003095,0.0003095,0.0003095
78,448.506,0.58157,0.31798,0.92974,0.98534,1,0.995,0.8197,0.86944,0.33019,1.03403,0.000297125,0.000297125,0.000297125
79,454.866,0.58343,0.32613,0.9076,0.98545,1,0.995,0.82364,0.86149,0.32597,1.03007,0.00028475,0.00028475,0.00028475
80,461.348,0.55476,0.34114,0.91519,0.98501,1,0.995,0.80512,0.91159,0.34083,1.06077,0.000272375,0.000272375,0.000272375
81,467.765,0.52672,0.30829,0.89944,0.98506,1,0.995,0.81799,0.94086,0.35171,1.07591,0.00026,0.00026,0.00026
82,474.536,0.57261,0.31347,0.91237,0.98524,1,0.995,0.81755,0.95246,0.35364,1.07605,0.000247625,0.000247625,0.000247625
83,481.803,0.54761,0.30364,0.89987,0.98518,1,0.995,0.82207,0.93276,0.34834,1.05833,0.00023525,0.00023525,0.00023525
