epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,384.411,1.09457,0.70001,1.2591,0.97214,0.95741,0.9891,0.75477,1.00248,0.50032,1.09829,0.000660045,0.000660045,0.000660045
43,392.827,1.17598,0.72895,1.32175,0.96345,0.95336,0.98813,0.78616,0.90157,0.50744,1.06489,0.000649046,0.000649046,0.000649046
44,401.097,1.14777,0.72286,1.31015,0.9701,0.97359,0.98624,0.76608,0.89302,0.50665,1.04871,0.000638047,0.000638047,0.000638047
45,410.171,1.15583,0.68954,1.3066,0.92045,0.96157,0.97153,0.7591,0.93454,0.52022,1.05901,0.000627048,0.000627048,0.000627048
46,419.473,1.10165,0.67128,1.26647,0.96674,0.97786,0.98531,0.77763,0.93472,0.48415,1.06851,0.000616049,0.000616049,0.000616049
47,429.776,1.10303,0.67782,1.28076,0.96811,0.99281,0.98967,0.77568,1.00752,0.49679,1.09221,0.000605051,0.000605051,0.000605051
48,439.516,1.09662,0.71969,1.2664,0.92523,0.98486,0.96395,0.7644,0.86112,0.49026,1.05537,0.000594052,0.000594052,0.000594052
49,447.625,1.14613,0.71298,1.29274,0.93177,0.98861,0.97571,0.74208,1.01312,0.51363,1.10809,0.000583053,0.000583053,0.000583053
50,456.198,1.14562,0.70623,1.30592,0.96944,0.98017,0.98696,0.80646,0.8792,0.50085,1.04618,0.000572054,0.000572054,0.000572054
51,464.32,1.14593,0.74896,1.31399,0.96016,0.98843,0.98844,0.78102,0.92093,0.51084,1.05871,0.000561055,0.000561055,0.000561055
52,472.437,1.08673,0.66912,1.24728,0.97649,0.98614,0.98683,0.77196,0.90181,0.48581,1.06633,0.000550056,0.000550056,0.000550056
53,480.705,1.14671,0.73356,1.32217,0.95429,0.98319,0.98831,0.75884,1.02171,0.53471,1.09906,0.000539057,0.000539057,0.000539057
54,489.115,1.10516,0.67985,1.25319,0.95599,0.98625,0.98904,0.75892,1.00018,0.49897,1.07621,0.000528058,0.000528058,0.000528058
55,497.61,1.15069,0.70774,1.29919,0.98201,0.95953,0.98971,0.80407,0.87854,0.48422,1.03449,0.000517059,0.000517059,0.000517059
56,506.542,1.14637,0.6543,1.25167,0.98651,0.95872,0.98922,0.79555,0.9254,0.46922,1.06464,0.00050606,0.00050606,0.00050606
57,515.388,1.11444,0.68438,1.26027,0.98313,0.96246,0.98827,0.78127,0.95964,0.50416,1.06706,0.000495062,0.000495062,0.000495062
58,524.61,1.09467,0.68208,1.26321,0.94837,0.93336,0.96645,0.7645,0.95565,0.59557,1.07033,0.000484063,0.000484063,0.000484063
59,534.048,1.10048,0.72195,1.25915,0.96187,0.95205,0.97923,0.7806,0.91458,0.53684,1.0633,0.000473064,0.000473064,0.000473064
60,543.077,1.04366,0.6263,1.22616,0.98562,0.9725,0.98765,0.80727,0.84456,0.46799,1.04002,0.000462065,0.000462065,0.000462065
61,552.171,1.05226,0.60973,1.2443,0.96932,0.9568,0.98525,0.79229,0.90431,0.49375,1.06088,0.000451066,0.000451066,0.000451066
62,560.841,1.08835,0.63364,1.2197,0.95689,0.95966,0.98556,0.77754,0.97322,0.49861,1.08284,0.000440067,0.000440067,0.000440067
63,569.584,1.07067,0.64277,1.25698,0.98298,0.98901,0.98939,0.79646,0.89178,0.46282,1.04656,0.000429068,0.000429068,0.000429068
64,578.736,1.00939,0.62041,1.21071,0.96656,0.95803,0.98619,0.73706,1.08673,0.52432,1.13609,0.000418069,0.000418069,0.000418069
65,587.54,1.0292,0.64642,1.20063,0.96201,0.95978,0.98424,0.7713,0.9683,0.51812,1.06559,0.00040707,0.00040707,0.00040707
66,596.41,1.02932,0.62585,1.22657,0.98322,0.99079,0.9877,0.80079,0.88224,0.4731,1.02963,0.000396071,0.000396071,0.000396071
67,604.895,1.028,0.62376,1.20155,0.99084,0.94359,0.97247,0.74813,1.03132,0.54749,1.08332,0.000385073,0.000385073,0.000385073
68,613.977,1.01122,0.6412,1.21746,0.98646,0.93581,0.9763,0.78407,0.89673,0.49937,1.04158,0.000374074,0.000374074,0.000374074
69,627.857,1.02798,0.62663,1.20777,0.98531,0.94248,0.98154,0.7668,0.98277,0.51968,1.07989,0.000363075,0.000363075,0.000363075
70,647.431,1.03822,0.61707,1.21069,0.97999,0.95103,0.98018,0.78608,0.96235,0.50983,1.071,0.000352076,0.000352076,0.000352076
71,672.044,1.0093,0.58816,1.19495,0.97779,0.96466,0.98406,0.75954,1.03169,0.47969,1.0926,0.000341077,0.000341077,0.000341077
72,697.606,1.01137,0.59162,1.17943,0.97138,0.98026,0.9859,0.77762,0.97527,0.45133,1.07042,0.000330078,0.000330078,0.000330078
73,721.631,0.98789,0.58686,1.18523,0.98324,0.96041,0.98603,0.77915,0.94844,0.47637,1.06767,0.000319079,0.000319079,0.000319079
74,736.528,0.98584,0.59018,1.19478,0.96043,0.92904,0.96502,0.77901,0.89736,0.52993,1.06016,0.00030808,0.00030808,0.00030808
75,746.208,0.9852,0.58827,1.2019,0.97761,0.98721,0.98571,0.80706,0.8682,0.43874,1.02959,0.000297081,0.000297081,0.000297081
76,756.023,0.99995,0.5856,1.18186,0.9721,0.98923,0.98466,0.76849,1.0335,0.48552,1.09728,0.000286083,0.000286083,0.000286083
77,765.698,0.97537,0.61066,1.18631,0.97698,0.9809,0.98387,0.75319,1.08903,0.49386,1.12159,0.000275084,0.000275084,0.000275084
78,775.388,0.983,0.5727,1.17618,0.98343,0.95849,0.9825,0.79043,0.90823,0.46638,1.04645,0.000264085,0.000264085,0.000264085
79,784.93,0.95924,0.59768,1.17724,0.97818,0.92686,0.96572,0.77008,0.9825,0.52591,1.08255,0.000253086,0.000253086,0.000253086
80,795.221,0.94976,0.61679,1.17467,0.98423,0.94259,0.9746,0.77869,0.96429,0.50964,1.06993,0.000242087,0.000242087,0.000242087
81,804.754,0.9799,0.57567,1.19344,0.98253,0.9479,0.9739,0.77025,0.95908,0.50107,1.0776,0.000231088,0.000231088,0.000231088
82,814.669,0.9352,0.54031,1.14588,0.98597,0.95245,0.98203,0.79788,0.89738,0.45713,1.04641,0.000220089,0.000220089,0.000220089
83,824.145,0.95204,0.53148,1.16496,0.98793,0.9476,0.98223,0.7905,0.91102,0.46002,1.05387,0.00020909,0.00020909,0.00020909
84,833.891,0.94681,0.54589,1.1475,0.98315,0.93381,0.96506,0.77043,0.94283,0.51732,1.06326,0.000198091,0.000198091,0.000198091
85,842.981,0.9761,0.56686,1.18202,0.9834,0.93859,0.97678,0.77954,0.91933,0.49298,1.05152,0.000187092,0.000187092,0.000187092
86,852.504,0.9817,0.57411,1.17659,0.98265,0.93117,0.97361,0.74622,1.01853,0.52007,1.09281,0.000176094,0.000176094,0.000176094
87,862.632,0.93534,0.56552,1.14509,0.98395,0.93729,0.96652,0.75688,0.97015,0.51635,1.07173,0.000165095,0.000165095,0.000165095
88,873.721,0.92235,0.51568,1.14392,0.98576,0.95632,0.98131,0.78055,0.91419,0.45163,1.03618,0.000154096,0.000154096,0.000154096
89,887.691,0.93108,0.55506,1.16915,0.98075,0.94089,0.97809,0.72281,1.13347,0.50608,1.10954,0.000143097,0.000143097,0.000143097
90,898.956,0.93677,0.56503,1.14099,0.98389,0.92923,0.95026,0.69175,1.17744,0.64703,1.13349,0.000132098,0.000132098,0.000132098
91,914.168,0.91006,0.49289,1.15297,0.97003,0.91624,0.93217,0.74262,0.9805,0.64951,1.07176,0.000121099,0.000121099,0.000121099
92,924.559,0.92364,0.52395,1.16116,0.97399,0.91584,0.92743,0.72431,1.0513,0.67967,1.11315,0.0001101,0.0001101,0.0001101
93,932.277,0.90191,0.49768,1.13453,0.97162,0.92809,0.93868,0.72331,1.06199,0.63489,1.11493,9.91012e-05,9.91012e-05,9.91012e-05
94,948.789,0.89519,0.49169,1.133,0.98218,0.93542,0.96028,0.75375,1.01934,0.56627,1.08575,8.81023e-05,8.81023e-05,8.81023e-05
95,972.79,0.87543,0.47215,1.11404,0.97907,0.93365,0.95271,0.73514,1.03118,0.57802,1.08828,7.71034e-05,7.71034e-05,7.71034e-05
96,994.46,0.86086,0.46582,1.11637,0.98249,0.93585,0.94751,0.72696,1.05726,0.60805,1.10045,6.61045e-05,6.61045e-05,6.61045e-05
97,1016.72,0.87588,0.46832,1.12617,0.98428,0.93609,0.9473,0.73291,1.0402,0.60288,1.09405,5.51056e-05,5.51056e-05,5.51056e-05
98,1035.96,0.87005,0.47503,1.11377,0.98528,0.93797,0.94741,0.74564,0.99685,0.58667,1.07889,4.41067e-05,4.41067e-05,4.41067e-05
99,1059.51,0.8555,0.46661,1.1013,0.98487,0.93629,0.94791,0.74951,0.98944,0.58158,1.07919,3.31078e-05,3.31078e-05,3.31078e-05
100,1084.31,0.85887,0.45989,1.10766,0.98407,0.93597,0.94745,0.74084,1.01632,0.59146,1.09207,2.21089e-05,2.21089e-05,2.21089e-05
